English,Hindi
part,भाग
history,इतिहास
search,खोज
only,केवल
police,पुलिस
thought,विचार
request,अनुरोध
kind,दयालु
month,महीना
brother,भाई
let,होने देना
because,क्योंकि
to put,डालने के लिए
no,नहीं
leash,पट्टा
them,उन्हें
city,शहर
each,प्रत्येक
speak,बोलना
come,आना
should,चाहिए
baby,बच्चा
long time,लंबे समय तक
hours,घंटे
will,इच्छा
while,जबकि
meet again,फिर मिलेंगे
any,कोई
square,वर्ग
speak,बोलना
understood,समझा
knew,जानता था
were,थे
Warning,चेतावनी
here is,यहाँ है
could,सकना
case,मामला
give,देना
type,प्रकार
their,उनका
given,दिया गया
train,रेलगाड़ी
body,शरीर
place,जगह
eyes,आँखें
way,रास्ता
listen,सुनना
whose,किसका
find,पाना
first,पहला
lost,खोया
hand,हाथ
first,पहला
side,ओर
power,शक्ति
old,पुराना
be,होना
here,यहाँ
morning,सुबह
child,बच्चा
point,बिंदु
came,आया
after,बाद
sorry,क्षमा मांगना
come,आना
in front of,के सामने
towards,की ओर
minutes,मिनट
request,अनुरोध
bedroom,सोने का कमरा
placed,रखा हे
beautiful,सुंदर
law,कानून
would like to,करना चाहेंगे
today,आज
husband,पति
cause,कारण
finally,आखिरकार
hope,आशा
water,पानी
Wait,इंतज़ार
left,बाएं
new,नया
job,काम
Stop,रुकना
would say,कहना होगा
Earth,धरती
account,खाता
given,दिया गया
far,दूर
end,अंत
believe,विश्वास करना
large,बड़ा
rather,की अपेक्षा
will have,होगा
girls,लड़कियाँ
to play,क्रीड़ा करना
office,कार्यालय
